date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:41	200609/200609	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Apr%202018%2006:16:30%20GMT	https://kai.id/	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/index.html	(from )
13:16:41	24634/24634	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Apr%202018%2006:16:30%20GMT	https://kai.id/robots.txt		(from )
13:16:41	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2258c63308-47e%22	https://kai.id/static/konten/favicon.ico	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/konten/favicon.ico	(from https://kai.id/)
13:16:41	720/720	---MCZ	200	added ('OK')	application/json	etag:W/%225930cbf8-2d0%22	https://kai.id/static/favicon/manifest.json	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/favicon/manifest.json	(from https://kai.id/)
13:16:41	2469/2469	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22597ab962-9a5%22	https://kai.id/static/favicon/mstile-144x144.png	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/favicon/mstile-144x144.png	(from https://kai.id/)
13:16:42	55522/55522	---MCZ	200	added ('OK')	text/css	etag:W/%225930cbf8-d8e2%22	https://kai.id/static/vendors/animate.css/animate.min.css	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/vendors/animate.css/animate.min.css	(from https://kai.id/)
13:16:42	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225930cbf7-7918%22	https://kai.id/static/Font-Awesome/css/font-awesome.min.css	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/Font-Awesome/css/font-awesome.min.css	(from https://kai.id/)
13:16:42	32588/32588	---MCZ	200	added ('OK')	text/css	etag:W/%225930cbf7-7f4c%22	https://kai.id/static/assets/fonts/megatron/styles.css	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/assets/fonts/megatron/styles.css	(from https://kai.id/)
13:16:42	327697/327697	---MCZ	200	added ('OK')	text/css	etag:W/%225a1cdc36-50011%22	https://kai.id/static/assets/css/kai.css	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/assets/css/kai.css	(from https://kai.id/)
13:16:43	4440/4440	---MCZ	200	added ('OK')	text/css	etag:W/%225993c0ae-1158%22	https://kai.id/static/assets/sidebar/css/kai-sidebar.css	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/assets/sidebar/css/kai-sidebar.css	(from https://kai.id/)
